line	reasons
đường tô ký - quận 12	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
da man ngũ hành sơn - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Hoàng Văn Thụ phường 4 Tân Bình - Hồ Chí Minh	1:gach_noi_giua_cap
1008/ 16 đường trường sa p12 - quận 3	1:gach_noi_giua_cap
đường liễu ngoại - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố chợ gạo	4:duoi_32_ky_tu
tân hòa, vĩnh bảo, hải phòng	4:duoi_32_ky_tu
90 nguyễn tuan thanh xuân	4:duoi_32_ky_tu
cao kỳ văn - bắc giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
ford thăng long láng - đống đa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường dx 090 - thủ dầu một bình dương	1:gach_noi_giua_cap
lê văn lương, cần giuộc	4:duoi_32_ky_tu
đường 15 quận 2 tp hồ chí minh	4:duoi_32_ky_tu
quảng khê, đăk glong, đắk nông	4:duoi_32_ky_tu
dự án opal riverside đường số 10 - phường hiệp bình chánh - thủ đức - hồ chí minh	1:gach_noi_giua_cap
ton dân an khe thanh khê đà nẵng	0:thieu_dau_sai_chinh_ta[an khe,khe thanh]
Phú Hòa Thoại Sơn An Giang	4:duoi_32_ky_tu
Xã Đại Mỗ Nam Từ Liêm Hà N. oi	4:duoi_32_ky_tu
Xã Phú Hòa Thoại Sơn - An Giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường hồ hảo hớn - quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
chung cư cienco1	4:duoi_32_ky_tu
228a - phan văn hân - bình thạnh hồ chí minh	1:gach_noi_giua_cap
phường 9 mỹ tho	4:duoi_32_ky_tu
88 đường 49 thủ đức hồ chí minh	4:duoi_32_ky_tu
đường 19 bình chánh hồ chí minh	4:duoi_32_ky_tu
bến đoan	4:duoi_32_ky_tu
Đường 35 - Thủ Đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 5 - bình tân	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án phố cho điện ngọc - điện bàn - quảng nam	1:gach_noi_giua_cap
đường 33 quận 7	4:duoi_32_ky_tu
Phường Tân Hồng Từ Sơn	4:duoi_32_ky_tu
xã tiên lãng, hải phòng	4:duoi_32_ky_tu
lavita garden trường thọ - hồ chí minh	1:gach_noi_giua_cap
dự án vinhomes riverside - đường hoa lan 4 - phường phúc lợi - hà nội	1:gach_noi_giua_cap
đường lê lợi hóc môn - hồ chí minh	1:gach_noi_giua_cap
đường phan anh hải châu	4:duoi_32_ky_tu
đường phạm qúy thích	4:duoi_32_ky_tu
đường số 5 - phường linh xuân - thủ đức - hồ chí minh	1:gach_noi_giua_cap
thới an.  quận 12 hồ chí minh	4:duoi_32_ky_tu
203 kim ngưu - hai bà trưng - hà nội	1:gach_noi_giua_cap
nam sơn 3 hải châu đà nẵng	4:duoi_32_ky_tu
phố nguyễn ngọc vũ - cầu giấy	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
thôn đại tảo quốc oai hà nội	4:duoi_32_ky_tu
D12 Thủ Dầu Một Bình Dương	4:duoi_32_ky_tu
vinhomes riva city hải phòng	4:duoi_32_ky_tu
đường 26 - bình tân - tp hồ chí minh	1:gach_noi_giua_cap
Đường Nguyễn Minh Hoàng	4:duoi_32_ky_tu
Nguyễn Hữu Trí - Bình Chánh - Hồ Chí Minh	1:gach_noi_giua_cap
phố 36, quế võ bắc ninh	4:duoi_32_ky_tu
Dự Định Long Xuyên An Giang	4:duoi_32_ky_tu
đường cao bá quát - hội an - quảng nam	1:gach_noi_giua_cap
chien luoc bình tân	0:thieu_dau_sai_chinh_ta[chien,luoc] | 4:duoi_32_ky_tu
đường cái lân - giếng đáy - quảng ninh	1:gach_noi_giua_cap
phường 9 tân bình hồ chí minh	4:duoi_32_ky_tu
mai hắc đế vinh	4:duoi_32_ky_tu
Blue Sapphire Bình Phú	4:duoi_32_ky_tu
Thanh Xuân 39	4:duoi_32_ky_tu
Trương Định - Quận 3	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
hải châu đà nẵng	4:duoi_32_ky_tu
dự án khu phố hưng phước quận 7 - tp hồ chí minh	1:gach_noi_giua_cap
tỉnh lộ 10a, thừa thiên huế	4:duoi_32_ky_tu
phố 36, trần não	4:duoi_32_ky_tu
Ỉa Tôr ChưPRông Gia Lai	4:duoi_32_ky_tu
phường hồng hà - đường huỳnh thúc kháng - hạ long - quảng ninh	1:gach_noi_giua_cap
đường lê văn tám đà lạt	4:duoi_32_ky_tu
đường 6 long an	4:duoi_32_ky_tu
Thanh Hà, Thanh Liêm, Hà Nam	4:duoi_32_ky_tu
Trường Sơn Quận 10	4:duoi_32_ky_tu
100/ 21/ 10 - Định Tiến Hoàng - Phường 1 - Bình Thạnh - Hồ Chí Minh	1:gach_noi_giua_cap
đường đinh tiên hoàng - xã an xuyên - tp cà mau	1:gach_noi_giua_cap
Ngõ 132 Khâm Thiên	4:duoi_32_ky_tu
số 71 ngõ 74 hữu hưng đại mỗ	4:duoi_32_ky_tu
Citi Soho Quận 2, Hồ Chí Minh	4:duoi_32_ky_tu
tân lập 1, hiệp phú quận 9	4:duoi_32_ky_tu
334 trần hưng đạo phường 11 - quận 5	1:gach_noi_giua_cap
phường thuận thành - huế	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường hoàng lê kha quận 6	4:duoi_32_ky_tu
Ngõ 130, Trung Kinh, hà nội	4:duoi_32_ky_tu
50 đường lê lợi, gò vấp	4:duoi_32_ky_tu
Đường Lĩnh Nam Hoàng Mai Hà Nội	4:duoi_32_ky_tu
nguyễn vạn lương, quận 6	4:duoi_32_ky_tu
dự án vinhomes riverside - phúc lợi - long biên - hà nội	1:gach_noi_giua_cap
Nguyễn Xiển - Hoàng Mai - Hà Nội	1:gach_noi_giua_cap
130B Phố Hàng Bông Hà Nội	4:duoi_32_ky_tu
Opera Business Centre	3:keyword_la_toan_so | 4:duoi_32_ky_tu
số 17, quận 7, hồ chí minh	4:duoi_32_ky_tu
Premier Village Phú Quốc	4:duoi_32_ky_tu
đường văn cao - hải châu đà nẵng	1:gach_noi_giua_cap
lạch tray, lê chân	4:duoi_32_ky_tu
chu văn thinh, sơn la	4:duoi_32_ky_tu
phan anh - hải châu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố đông chiêu, bình dương	4:duoi_32_ky_tu
đình thôn nam từ liêm	4:duoi_32_ky_tu
Hung Gia 3 - Phú Mỹ Hưng - Hồ Chí Minh	1:gach_noi_giua_cap
phố hoàng đạo thúy, thanh xuân	4:duoi_32_ky_tu
lộ giang 16	4:duoi_32_ky_tu
tam đảo - quận 10	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
green lake phường hòa thọ đông - đường nguyễn phước tần - đà nẵng	1:gach_noi_giua_cap
Đường Đường Công Khi, Xã Tân Thới Nhì, Hóc Môn, Hồ Chí Minh	2:trung_keyword[đường đường]
đường lê đại hành, hà nội	4:duoi_32_ky_tu
đường lương the vinh - an giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
hoài thanh, phường 14, quận 8	4:duoi_32_ky_tu
Đường 963	4:duoi_32_ky_tu
xã cần kiệm, hà nội	4:duoi_32_ky_tu
Đông Tác Phường Tân Đông Hiệp - Dĩ An Bình Dương	1:gach_noi_giua_cap
Dự án Green Home - Linh Đông - Thủ Đức - Hồ Chí Minh	1:gach_noi_giua_cap
đường võ văn điều hồ chí minh	4:duoi_32_ky_tu
đường điện biên phủ bình thạnh	4:duoi_32_ky_tu
218 - giảng võ - ba đình - hà nội	1:gach_noi_giua_cap
nguyễn cao luyện - long biên - hà nội	1:gach_noi_giua_cap
25 yên thái	4:duoi_32_ky_tu
quốc lộ 71 thường tín	4:duoi_32_ky_tu
đường lý đạo thành phường	4:duoi_32_ky_tu
Nguyễn Ba Tong - Tân Bình Hồ Chí Minh	1:gach_noi_giua_cap
thủ thiêm sky - quận 2 tp hồ chí minh	1:gach_noi_giua_cap
phố quốc tuấn, khánh hòa	4:duoi_32_ky_tu
Bùi Thanh Khiết Bình Chánh	4:duoi_32_ky_tu
đường 7 - ninh kiều - cần thơ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường hau can	4:duoi_32_ky_tu
điện biên phủ quận 3	4:duoi_32_ky_tu
Đường Thăng Long - Cẩm Lệ Đà Nẵng	1:gach_noi_giua_cap
phú đức, bình phước	4:duoi_32_ky_tu
Huỳnh Văn Nghệ, Biên Hòa	4:duoi_32_ky_tu
đường trần thị đỗ quận 12	4:duoi_32_ky_tu
đường hoàng liên hà nội	4:duoi_32_ky_tu
đường mỗ lao, hà đông hà nội	4:duoi_32_ky_tu
lê mạnh trinh, đà nẵng	4:duoi_32_ky_tu
thanh niên - xã xuân thới thượng hóc môn	1:gach_noi_giua_cap
322/ 187a4 - dương quảng hàm - hồ chí minh	1:gach_noi_giua_cap
đường an thượng 33 - mỹ an ngũ hành sơn đà nẵng	1:gach_noi_giua_cap
tân phú, đường 1 quận 7	4:duoi_32_ky_tu
long thới, chợ lách	4:duoi_32_ky_tu
Đường 768B, Đồng Nai	4:duoi_32_ky_tu
Đường Hòa Minh 4 - Đà Nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Phường 17 - Trường Sa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Phố 36 Quế Võ Bắc Ninh	4:duoi_32_ky_tu
xã phong phú - bình chánh - tp hồ chí minh	1:gach_noi_giua_cap
Dự án HQC 35 Ho Hoc Lam, Bình Tân	0:thieu_dau_sai_chinh_ta[hoc,ho hoc,hoc lam]
xã tiến xuân thạch thất	4:duoi_32_ky_tu
đường hòa hưng - quận 1 - hồ chí minh	1:gach_noi_giua_cap
đường 11, phú nhuanho, chí minh	4:duoi_32_ky_tu
Nguyễn Văn Cừ Long Biên Hà Nội	4:duoi_32_ky_tu
trần vân du, hồ chí minh	4:duoi_32_ky_tu
kđt vĩnh hòa - đường nguyễn cơ thạch - nha trang	1:gach_noi_giua_cap
xuân đỉnh	4:duoi_32_ky_tu
Đường Trương Định - Phường Tương Mai - Hoàng Mai - hà nội	1:gach_noi_giua_cap
phố 45, nông cống, thanh hóa	4:duoi_32_ky_tu
khương hạ	4:duoi_32_ky_tu
dự án mỹ phước 1 d14, bến cát	4:duoi_32_ky_tu
đường 7a, quận 11 hồ chí minh	4:duoi_32_ky_tu
đường trần quốc tuấn - trà vinh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường cầu dậu hà nội	4:duoi_32_ky_tu
vũ hữu lợi, hai bà trưng	4:duoi_32_ky_tu
chơn thành golden land - chơn thành - bình phước	1:gach_noi_giua_cap | 2:trung_keyword[chơn thành]
62, đường 7, thủ đức	4:duoi_32_ky_tu
đường bùi đình túy	4:duoi_32_ky_tu
255 lĩnh nam - hoàng mai - hà nội	1:gach_noi_giua_cap
Hạ Lũng - Hải An Hải Phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
cao xuân dục - quận 8	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
văn cao, hải châu	4:duoi_32_ky_tu
dã tượng hoàn kiếm	4:duoi_32_ky_tu
56 đường bùi văn thêm	4:duoi_32_ky_tu
đường 9, hiệp bình phước	4:duoi_32_ky_tu
70/ 32 Đinh Bộ Lĩnh - Phường 26 Quận Bình Thạnh - Thành phố Hồ Chí Minh	1:gach_noi_giua_cap
đường nguyễn an ninh, bà rịa	4:duoi_32_ky_tu
đường 7 phường phú mỹ quận 7	4:duoi_32_ky_tu
Dự án C. T Plaza Nguyên Hồng - Gò Vấp - Sài Gòn	1:gach_noi_giua_cap
Bình Tân, Tp Hồ Chí Minh	4:duoi_32_ky_tu
Phạm Thế Hiển Quận 8 - Tp Hồ Chí Minh	1:gach_noi_giua_cap
dũng sĩ, điện ngọc, quảng nam	4:duoi_32_ky_tu
tiến thành phan thiết	4:duoi_32_ky_tu
80 phố an xá, ba đình	4:duoi_32_ky_tu
chung cu 26 nguyễn thượng hiền - gò vấp - hồ chí minh	0:thieu_dau_sai_chinh_ta[chung cu] | 1:gach_noi_giua_cap
đường đội cấn cẩm lệ đà nẵng	4:duoi_32_ky_tu
lê thanh - lào cai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường cầu mới	4:duoi_32_ky_tu
quan hoa - cầu giấy - hà nội	0:thieu_dau_sai_chinh_ta[hoa cầu] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường phan huy ích - gò vấp	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
pasteur - phường 6 - quận 3 - hồ chí minh	1:gach_noi_giua_cap
hương lộ 80 quận 12 - hồ chí minh	1:gach_noi_giua_cap
âu cơ, tân phú	4:duoi_32_ky_tu
Điện Biên Phủ - Quận 3 - Hồ Chí Minh	1:gach_noi_giua_cap
Dự án KDT Vĩnh Hòa - Đường Nguyễn Co Thach - Khánh Hòa	0:thieu_dau_sai_chinh_ta[thach] | 1:gach_noi_giua_cap
phùng hưng thanh khê	4:duoi_32_ky_tu
đường thạch xuân 43 - quận 12 - hồ chí minh	1:gach_noi_giua_cap
dự án the gold view - đường bến vân đồn - phường 1 - quận 4	1:gach_noi_giua_cap
Ngõ 41 - Phố Thái Hà Đông Da - Hà Nội	0:thieu_dau_sai_chinh_ta[đông da,da hà] | 1:gach_noi_giua_cap
thạnh mỹ lợi quận 2	4:duoi_32_ky_tu
d2 hiệp phước - nhà bè hồ chí minh	1:gach_noi_giua_cap
chung cư n105 nguyễn phong sắc	4:duoi_32_ky_tu
Vĩnh Lương, Hòn Nghê	4:duoi_32_ky_tu
Đường Hương Lộ 80B Quận 12	4:duoi_32_ky_tu
thanh đa - Bình Thạnh - Hồ Chí Minh	1:gach_noi_giua_cap
đường nguyễn bặc, khánh hòa	4:duoi_32_ky_tu
phú lâm hà đông	4:duoi_32_ky_tu
yên thuận, cần thơ	4:duoi_32_ky_tu
đường 8 bình tân	4:duoi_32_ky_tu
số 12 51 nguyễn thị đinh	4:duoi_32_ky_tu
hòa bình, quận 11	4:duoi_32_ky_tu
Bàu Mạc 3, Đà Nẵng	4:duoi_32_ky_tu
trần bình trọng khánh hòa	4:duoi_32_ky_tu
hoàng du khuông - quận 10 - hồ chí minh	1:gach_noi_giua_cap
đường ô chợ dừa - đống đa hà nội	1:gach_noi_giua_cap
Dự án KDC Phú Lộc An - Đường Nguyễn Chích - Hòa Minh - Liên Chiểu - Đà Nẵng	1:gach_noi_giua_cap
phường thạch linh - hà tĩnh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường phú thượng, tây hồ	4:duoi_32_ky_tu
hoàng du khuông, hồ chí minh	4:duoi_32_ky_tu
102b 9 hoàng ngọc phách, hà nội	4:duoi_32_ky_tu
đường quốc lộ 32, phúc thọ	4:duoi_32_ky_tu
118/ 4 đường nguyễn chí thanh phường 16 - quận 11	1:gach_noi_giua_cap
xã tân ước - thanh oai - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường lê đình thám - hải châu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
the navita - quốc lộ 13 - phường tam bình thủ đức	1:gach_noi_giua_cap
Trường Thạnh, Long Thuận	4:duoi_32_ky_tu
phố vũ hữu - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Tân Thụy - Long Biên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Phố Thị Sách Đà Lạt Lâm Đồng	4:duoi_32_ky_tu
DX 067 - Bình Dương	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
vạn đô quận 4 - tp hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
681/ 29 đường quang trung - gò vấp	1:gach_noi_giua_cap
thới hòa bến cát bình dương	4:duoi_32_ky_tu
châu thượng văn hải châu	4:duoi_32_ky_tu
đường nhân hoà 8 cẩm lệ đà nẵng	4:duoi_32_ky_tu
đường nguyễn du - hoàn kiếm	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
100/ 21/ 10 Đường Định Tiến Hoàng - Phường 1 Bình Thạnh Hồ Chí Minh	1:gach_noi_giua_cap
Nguyễn Văn Bứa - Hóc Môn, Tp Hồ Chí Minh	1:gach_noi_giua_cap
cầu mới hà nội	4:duoi_32_ky_tu
21 han hai nguyễn - quận 11 hồ chí minh	1:gach_noi_giua_cap
tràng an complex	4:duoi_32_ky_tu
đường định công trang p. xuân khanh q. ninh kiều tp. can tho	0:thieu_dau_sai_chinh_ta[can tho]
cầu dau	4:duoi_32_ky_tu
phố bồ đề, long biên, hà nội	4:duoi_32_ky_tu
dự án 151 hoàng quốc việt phố hoàng sâm - phường nghĩa đô cầu giấy	1:gach_noi_giua_cap
3189/ 42 - đường phạm thế hiển f7 - quận 8 - hồ chí minh	1:gach_noi_giua_cap
đường lê tân be bình tân	4:duoi_32_ky_tu
Lê Bình, Cái Răng Cần Thơ	4:duoi_32_ky_tu
sn 7 ngõ 3 phố thái hà, hà nội	4:duoi_32_ky_tu
đường buôn krông a	4:duoi_32_ky_tu
đường bà hạt	4:duoi_32_ky_tu
quảng an - xuân dieu - tây hồ - hà nội	1:gach_noi_giua_cap
Đường Cống Quỳnh Quận 1	4:duoi_32_ky_tu
đường 35, thủ đức hồ chí minh	4:duoi_32_ky_tu
đằng hải hải an	4:duoi_32_ky_tu
river park vành đại trọng quan 9 hồ chí minh	0:thieu_dau_sai_chinh_ta[trọng quan,quan hồ]
hiệp thành - thủ dầu một - bình dương	1:gach_noi_giua_cap
đường 66 - tân uyên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Hồ Công Dự	4:duoi_32_ky_tu
phường trảng dài - đường nguyễn khuyến - biên hòa	1:gach_noi_giua_cap
đường tựu liệt - phường định công - hoàng mai	1:gach_noi_giua_cap
cao triệu phát quận 7 - tp hồ chí minh	1:gach_noi_giua_cap
Dự án Đại Ngàn Đường 22/ 12 - Thuận Giao Thuận An - Bình Dương	1:gach_noi_giua_cap
Số 32/ 51/ 229 Đường Hàng Kênh	4:duoi_32_ky_tu
đường văn cao hải châu đà nẵng	4:duoi_32_ky_tu
Huy Hoàng - Đường Lê Hiến Mai - Phường	1:gach_noi_giua_cap
hiệp thành 6	4:duoi_32_ky_tu
dự án gold star tower - thủ dầu một - bình dương	1:gach_noi_giua_cap
biệt thự hà đô	4:duoi_32_ky_tu
Mạc Đĩnh Chi - Quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
screc tower quận 3, hồ chí minh	4:duoi_32_ky_tu
Dự án Điện Nam Trung Điện Bàn - Quảng Nam	1:gach_noi_giua_cap
1103 - đường nguyễn văn linh - an dương	1:gach_noi_giua_cap
Đường Trường Chinh, Huế	4:duoi_32_ky_tu
đường an thạnh thủy - tiền giang	1:gach_noi_giua_cap
phường văn miếu đống đa hà nội	4:duoi_32_ky_tu
dự án opal skyview - thủ đức hồ chí minh	1:gach_noi_giua_cap
đường an thượng 18 ngũ hành sơn	4:duoi_32_ky_tu
số nhà 47 21 80 đường	4:duoi_32_ky_tu
dự án chung cu tây thành - tân phú - hồ chí minh	0:thieu_dau_sai_chinh_ta[chung cu] | 1:gach_noi_giua_cap
64 Lê Dinh Vũ, Hải Dương	4:duoi_32_ky_tu
đường 100 - quận 11	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Trần Quy Cap Đống Đa - Hà Nội	0:thieu_dau_sai_chinh_ta[cap] | 1:gach_noi_giua_cap
phường 1 quận 3, tp hồ chí minh	4:duoi_32_ky_tu
Khương Thượng Đống Đa Hà Nội	4:duoi_32_ky_tu
ea súp - đắk lắk	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bà hom, quận 6	4:duoi_32_ky_tu
Dương Khê - Tân Phú - Tp Hồ Chí Minh	1:gach_noi_giua_cap
478 đường nguyễn oanh - hồ chí minh	1:gach_noi_giua_cap
châu thành tiền giang	4:duoi_32_ky_tu
võ văn kiệt - quận 8	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
him lam - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường tỉnh lộ 47 - xã cửa dương - phú quốc - kiên giang	1:gach_noi_giua_cap
đường đinh đức thiện cần đước	4:duoi_32_ky_tu
Quốc lộ 91, Châu Đốc, An Giang	4:duoi_32_ky_tu
kdc nam hưng vuong, bình tân, hồ chí minh	0:thieu_dau_sai_chinh_ta[vuong,hưng vuong]
đường 27 quận 9 hồ chí minh	4:duoi_32_ky_tu
phan đình giót, tân bình	4:duoi_32_ky_tu
Trung Yên Plaza - Cầu Giấy - Hà Nội	1:gach_noi_giua_cap
Lương Văn Thắng - Phường Đông Thành - Ninh Bình	1:gach_noi_giua_cap
đường quốc lộ 6a hà nội	4:duoi_32_ky_tu
đền lừ 2, hà nội	4:duoi_32_ky_tu
Đường Gò Công - Quận 5 Hồ Chí Minh	1:gach_noi_giua_cap
đường hà trì 4 - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số 168	4:duoi_32_ky_tu
dream home hòa xuân lệ - đà nẵng	1:gach_noi_giua_cap
triệu việt vương - hai bà trưng - hà nội	1:gach_noi_giua_cap
núi thành - núi thành - quảng nam	1:gach_noi_giua_cap | 2:trung_keyword[núi thành]
33/ lý vạn phúc quận 1	4:duoi_32_ky_tu
Đường Mỹ Trọng, Nam Định	4:duoi_32_ky_tu
dự án khu can ho ehome 3, bình tân sài gòn	0:thieu_dau_sai_chinh_ta[can ho]
nguyễn văn cừ, bình tân	4:duoi_32_ky_tu
dự án vinhomes green bay - hà nội	1:gach_noi_giua_cap
phố hàng be - hoàn kiếm - hà nội	1:gach_noi_giua_cap
Đường Tỉnh lộ 822, Đức Hòa	4:duoi_32_ky_tu
Đường Pasteur - Quận 1 Hồ Chí Minh	1:gach_noi_giua_cap
chung cư 379 đội cấn	4:duoi_32_ky_tu
Tòa nha Intracom - Cầu Giấy Hà Nội	1:gach_noi_giua_cap
đường 19 - bình chánh - hồ chí minh	1:gach_noi_giua_cap
yên khê 1 - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Đỗ Xuân Hợp - Quận 2	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
trần thủ độ tân phú	4:duoi_32_ky_tu
đường 4 - quận 2 hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
huyện trảng bàng tây ninh	4:duoi_32_ky_tu
Khu đô thị Vinhomes Riverside - P. Phúc Lợi - Long Biên	1:gach_noi_giua_cap
khu đỗ thị thanh hà hà đông - hà nội	1:gach_noi_giua_cap
số 1 lộ 5b Trung Yên - phường Yên Hoà - Cầu Giấy - Hà Nội	1:gach_noi_giua_cap
huyện đông anh, hà nội	4:duoi_32_ky_tu
thạnh mỹ lợi - đường đồng văn cống - quận 2	1:gach_noi_giua_cap
tỉnh lộ 10 - - bình chánh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
quận hồng bàng - hải phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường cái lân quảng ninh	4:duoi_32_ky_tu
167 - nguyễn phong sắc - phường hưng dũng - tp vinh	1:gach_noi_giua_cap
đường tram ca	4:duoi_32_ky_tu
6 - 8 đường 16 - q. thủ đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
159 - 3789	3:keyword_la_toan_so | 4:duoi_32_ky_tu
chung cư lễ thanh - bình tân - sài gòn	1:gach_noi_giua_cap
đường nguyễn vạn lương	4:duoi_32_ky_tu
tân lập nha trang	4:duoi_32_ky_tu
q. hải an hải phòng	4:duoi_32_ky_tu
Đường 15 Thuận An - Bình Dương	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tòa nhà văn phòng transmeco	4:duoi_32_ky_tu
đường lac lon. g quận cầu giấy hà nội	0:thieu_dau_sai_chinh_ta[lac,đường lac]
bình hòa - nguyễn du - thuận an - bình dương	1:gach_noi_giua_cap
dự án toà nhà intracom - cầu giấy - hà nội	1:gach_noi_giua_cap
riviera point - tân phú - đường huỳnh tấn phát quận 7 - hồ chí minhq	1:gach_noi_giua_cap
vien bong lê hữu trac thanh trì - hà nội	0:thieu_dau_sai_chinh_ta[vien,trac] | 1:gach_noi_giua_cap
nguyễn bặc - khánh hòa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường liên phường, phường trường thạnh, quận 9, hồ chí minh	2:trung_keyword[phường phường]
Hương Lộ 15, Vĩnh Cửu, Đồng Nai	4:duoi_32_ky_tu
Dự án Vĩnh Lộc Garden - Bình Chánh - Hồ Chí Minh	1:gach_noi_giua_cap
32 đường tống văn hên - p15 - q. tân bình - hồ chí minh	1:gach_noi_giua_cap
an hòa 2 - cẩm lệ - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường tỉnh lộ 39b, kiến xương	4:duoi_32_ky_tu
đường phúc tân - hoàn kiếm hà nội	1:gach_noi_giua_cap
Đường Số 6 - Xã Phạm Văn Hai - Bình Chánh - Hồ Chí Minh	1:gach_noi_giua_cap
an hải đông	4:duoi_32_ky_tu
Đường Liên Tỉnh 5 - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
kha vạn cân - thủ đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Hoàng Hoa Thám Tân Bình	4:duoi_32_ky_tu
phường hải châu ii đà nẵng	4:duoi_32_ky_tu
Bà Hạt	4:duoi_32_ky_tu
đường số 2 - quận 7	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường khánh hội phường 3 - quận 4	1:gach_noi_giua_cap
71 ngõ 74 đường hữu hưng đại mỗ	4:duoi_32_ky_tu
468 Đường Phan Văn Trị, Gò Vấp	4:duoi_32_ky_tu
số 11 khuc hao sơn trà	0:thieu_dau_sai_chinh_ta[khuc] | 4:duoi_32_ky_tu
tân sơn nhì tân phú	4:duoi_32_ky_tu
dự án khu nhà ở thanh bình - hà đông - hà nội	1:gach_noi_giua_cap
Điện Biên Phủ Tây Ninh	4:duoi_32_ky_tu
dự án kdc kiến á d3 phường phước long b - quận 9 hồ chí minh	1:gach_noi_giua_cap
dự án tản đà quận 5 hồ chí minh	4:duoi_32_ky_tu
long thới nhà bè ho c. hi minh	0:thieu_dau_sai_chinh_ta[bè ho] | 4:duoi_32_ky_tu
thị trấn cái bè, tiền giang	4:duoi_32_ky_tu
thành công ba đình - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường thới an 17 quận 12	4:duoi_32_ky_tu
xã ia ko gia lai	4:duoi_32_ky_tu
đông thạnh hóc môn hồ chí minh	4:duoi_32_ky_tu
Dự án Lotus Apartment, Ong Ich Khiêm, Phường 10 Quận 11 Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[ich]
37/ 2c đường 11 - gò vấp	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Hoàng Sa - Phú Nhuận - Hồ Chí Minh	1:gach_noi_giua_cap
đường trần quốc hoàn, tân bình	4:duoi_32_ky_tu
lương yên hải ba trung hạ noi	0:thieu_dau_sai_chinh_ta[hạ noi] | 4:duoi_32_ky_tu
chung cu cienco1	0:thieu_dau_sai_chinh_ta[chung cu] | 3:keyword_la_toan_so | 4:duoi_32_ky_tu
khu công nghiệp tân đô	4:duoi_32_ky_tu
tỉnh lộ 10a thừa thiên huế	4:duoi_32_ky_tu
đường phan đình phùng - biên hòa - đồng nai	1:gach_noi_giua_cap
đường hàng đồng - nam định	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường quan hoa, hà nội	0:thieu_dau_sai_chinh_ta[phường quan] | 4:duoi_32_ky_tu
thanh nê - thái bình	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
